"job_id","company_name","job_title_short","job_location","salary_year_avg"
226942,"Mantys","Data Analyst","Anywhere","650000.0"
547382,"Meta","Data Analyst","Anywhere","336500.0"
552322,"AT&T","Data Analyst","Anywhere","255829.5"
99305,"Pinterest Job Advertisements","Data Analyst","Anywhere","232423.0"
1021647,"Uclahealthcareers","Data Analyst","Anywhere","217000.0"
168310,"SmartAsset","Data Analyst","Anywhere","205000.0"
731368,"Inclusively","Data Analyst","Anywhere","189309.0"
310660,"Motional","Data Analyst","Anywhere","189000.0"
1749593,"SmartAsset","Data Analyst","Anywhere","186000.0"
387860,"Get It Recruit - Information Technology","Data Analyst","Anywhere","184000.0"
1352513,"A-Line Staffing Solutions","Data Analyst","Anywhere","170000.0"
987523,"Kelly Science, Engineering, Technology & Telecom","Data Analyst","Anywhere","170000.0"
1781684,"Robert Half","Data Analyst","Anywhere","170000.0"
1525451,"Uber","Data Analyst","Anywhere","167000.0"
1246069,"Plexus Resource Solutions","Data Analyst","Anywhere","165000.0"
712473,"Get It Recruit - Information Technology","Data Analyst","Anywhere","165000.0"
1799883,"Mayo Clinic","Data Analyst","Anywhere","164746.0"
1423236,"Mayo Clinic","Data Analyst","Anywhere","164746.0"
618890,"CEDARS-SINAI","Data Analyst","Anywhere","163500.0"
918213,"DIRECTV","Data Analyst","Anywhere","160515.0"
783771,"Robert Half","Data Analyst","Anywhere","160000.0"
182813,"Get It Recruit - Information Technology","Data Analyst","Anywhere","160000.0"
475626,"Realtime Recruitment","Data Analyst","Anywhere","160000.0"
266799,"Uber","Data Analyst","Anywhere","157500.0"
485388,"Edgewater Federal Solutions, Inc.","Data Analyst","Anywhere","157500.0"
25761,"CaptivateIQ","Data Analyst","Anywhere","155485.5"
105157,"Motion Recruitment","Data Analyst","Anywhere","155000.0"
795614,"Zscaler","Data Analyst","Anywhere","152625.0"
565646,"Zscaler","Data Analyst","Anywhere","152625.0"
540057,"Rocket Money","Data Analyst","Anywhere","152500.0"
72957,"US Patent and Trademark Office","Data Analyst","Anywhere","152221.5"
456042,"Get It Recruit - Healthcare","Data Analyst","Anywhere","151500.0"
73304,"Patterned Learning AI","Data Analyst","Anywhere","150000.0"
591850,"Patterned Learning AI","Data Analyst","Anywhere","150000.0"
1402149,"Edward Jones","Data Analyst","Anywhere","148238.5"
1694004,"EXL Service","Data Analyst","Anywhere","147285.0"
405581,"CyberCoders","Data Analyst","Anywhere","145000.0"
1329162,"Hire With Jarvis","Data Analyst","Anywhere","145000.0"
479485,"Level","Data Analyst","Anywhere","145000.0"
712558,"ALTA IT Services","Data Analyst","Anywhere","145000.0"
1275642,"Edward Jones","Data Analyst","Anywhere","144481.5"
1090975,"Uber","Data Analyst","Anywhere","140500.0"
149006,"Insight Global","Data Analyst","Anywhere","140500.0"
208403,"Insight Global","Data Analyst","Anywhere","140000.0"
1392859,"Motion Recruitment","Data Analyst","Anywhere","140000.0"
1049000,"Sisense","Data Analyst","Anywhere","140000.0"
762220,"IT Pros","Data Analyst","Anywhere","140000.0"
1300702,"Revolut","Data Analyst","Anywhere","139000.0"
388392,"United Services Automobile Association","Data Analyst","Anywhere","138640.0"
1482852,"Overmind","Data Analyst","Anywhere","138500.0"
350382,"Get It Recruit - Information Technology","Data Analyst","Anywhere","138000.0"
835092,"Insight Global, Inc.","Data Analyst","Anywhere","137500.0"
740073,"WhiteCrow","Data Analyst","Anywhere","137000.0"
479965,"InvestM Technology LLC","Data Analyst","Anywhere","135000.0"
513988,"Get It Recruit - Hospitality","Data Analyst","Anywhere","135000.0"
777802,"Robert Half","Data Analyst","Anywhere","135000.0"
1326467,"EPIC Brokers","Data Analyst","Anywhere","135000.0"
311931,"SoftDev Incorporated","Data Analyst","Anywhere","132500.0"
990420,"Get It Recruit - Information Technology","Data Analyst","Anywhere","132500.0"
262837,"Osmind","Data Analyst","Anywhere","132500.0"
1209798,"Doximity","Data Analyst","Anywhere","130000.0"
21451,"ApTask","Data Analyst","Anywhere","130000.0"
1686779,"Get It Recruit - Information Technology","Data Analyst","Anywhere","130000.0"
92703,"Launch Consulting Group","Data Analyst","Anywhere","130000.0"
1531276,"Alpha Silicon","Data Analyst","Anywhere","130000.0"
447569,"Kforce Technology Staffing","Data Analyst","Anywhere","130000.0"
1566076,"Lonza","Data Analyst","Anywhere","129000.0"
1148444,"Acorns","Data Analyst","Anywhere","127000.0"
1791785,"Cash App","Data Analyst","Anywhere","127000.0"
592669,"ICF","Data Analyst","Anywhere","126452.0"
116211,"UnitedHealthcare","Data Analyst","Anywhere","126000.0"
502626,"UnitedHealth Group","Data Analyst","Anywhere","126000.0"
1735665,"USAA","Data Analyst","Anywhere","125930.0"
748965,"Uber","Data Analyst","Anywhere","125500.0"
1229773,"Infinity Consulting Solutions, Inc.","Data Analyst","Anywhere","125000.0"
400967,"PWR Staffing & Recruiting","Data Analyst","Anywhere","125000.0"
1551308,"Get It Recruit - Information Technology","Data Analyst","Anywhere","125000.0"
1216840,"hims & hers","Data Analyst","Anywhere","125000.0"
300502,"Get It Recruit - Real Estate","Data Analyst","Anywhere","125000.0"
900945,"The Walt Disney Company","Data Analyst","Anywhere","125000.0"
285447,"Robert Half","Data Analyst","Anywhere","125000.0"
595967,"Starbridge Partners","Data Analyst","Anywhere","125000.0"
1682817,"Blackstone Consulting, Inc.","Data Analyst","Anywhere","124500.0"
821092,"Cloudflare","Data Analyst","Anywhere","124000.0"
970857,"Exact Sciences Corporation","Data Analyst","Anywhere","123249.5"
631753,"Get It Recruit - Information Technology","Data Analyst","Anywhere","123000.0"
596565,"ICF","Data Analyst","Anywhere","122769.0"
1015777,"Analytic Recruiting Inc.","Data Analyst","Anywhere","122500.0"
841943,"Get It Recruit - Finance","Data Analyst","Anywhere","122500.0"
238020,"Innova Solutions","Data Analyst","Anywhere","122500.0"
298860,"Cloudflare","Data Analyst","Anywhere","122000.0"
426033,"CloudFlare","Data Analyst","Anywhere","122000.0"
587198,"Motion Recruitment","Data Analyst","Anywhere","120000.0"
946582,"Jobot","Data Analyst","Anywhere","120000.0"
236172,"Get It Recruit - Information Technology","Data Analyst","Anywhere","120000.0"
1191992,"Robert Half","Data Analyst","Anywhere","120000.0"
1611348,"M13","Data Analyst","Anywhere","120000.0"
999820,"LAI","Data Analyst","Anywhere","120000.0"
1132443,"US Development Finance Corporation (formerly Overseas Private Investment Corporation)","Data Analyst","Anywhere","119908.0"
446029,"CVS Health","Data Analyst","Anywhere","119200.0"
